RANK;ATHLETE;NATION;San Salvador A;Riga A;Luxembourg A;Heraklion A;Tokyo A;Manama A;Belgrade A;Bâle A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
401;WICHT Matteo;SUI;;;;0.00;;;;1.00;;;;;;1.00
402;KOLPA Piotr;POL;;1.00;;;;;;;;;;;;1.00
403;GRUNDER Pascal;SUI;;;;;;;;1.00;;;;;;1.00
404;CAVADINI Lazare;SUI;;;;;;;;1.00;;;;;;1.00
404;ERBETTA Diego;SUI;;;;;;;;1.00;;;;;;1.00
406;ERIKSSON Filip;SWE;;1.00;;;;;0.00;;;;;;;1.00
407;TAFENAU Kasper;EST;;1.00;;;;;;;;;;;;1.00
408;PRINZ Niklas;LUX;;;0.00;;;;;1.00;;;;;;1.00
409;DAROIAN Emon;USA;;1.00;;;;;;;;;;;;1.00
409;BULANDRA Jan;POL;;;;;;;;1.00;;;;;;1.00
411;DYRSETH Brage;NOR;;;;1.00;;;0.00;0.00;;;;;;1.00
412;LIMA Sebastiao;POR;;;1.00;;;;;;;;;;0.00;1.00
413;CSERE Bence;HUN;;1.00;;;;;;;;;;;;1.00
414;KEMP Nicolas;BEL;;;0.50;;;;0.00;0.50;;;;;;1.00
415;STEHLIK Jan;CZE;;;0.50;;;;0.50;;;;;;;1.00
416;BELIANINOV Daniil;RUS;;0.50;;0.50;;;;;;;;;;1.00
417;KOSHMAN Nikita;UKR;;0.50;;;;;0.50;;;;;;;1.00
418;ZENS Philipp;LUX;;;0.50;;;;;0.50;;;;;;1.00
419;DJATSUK Filipp;EST;;0.25;;;;;;;;;;;0.63;0.88
420;KAEMEREIT Maximilian Rubens;GER;;;;0.50;;;0.25;;;;;;;0.75
421;MARCHAND Charles-Edouard;SUI;;0.50;0.00;0.00;;;0.25;0.00;;;;;;0.75
422;MILAM Hugh;USA;;;0.50;;;;0.25;;;;;;;0.75
423;LISIN Refael;ISR;;0.25;;0.50;;;;;;;;;0.00;0.75
424;BRUCKMUELLER Fabian;AUT;;0.00;0.50;0.25;;;0.00;;;;;;;0.75
425;ALARCIA Daniel;ESP;;0.50;0.00;;;;0.25;0.00;;;;;;0.75
426;HUNGERBUHLER Alexandre;SUI;;0.50;0.25;;;;;;;;;;;0.75
427;CAIKOVSKIS Glebs;LAT;;;;;;;;;;;;;0.63;0.63
428;RISTIC Ognjen;SRB;;;;;;;0.50;;;0.00;;;;0.50
429;MASLOV Heorhii;UKR;;;;;;;0.50;;;;;;;0.50
430;RONA Milan;HUN;;;;;;;0.50;0.00;;;;;;0.50
431;COUFAL Frantisek;CZE;;;;;;;0.50;;;;;;;0.50
432;TAVOR Itamar;ISR;;0.50;;;;;;;;;;;;0.50
433;JENNY David;SUI;;;0.50;;;;;;;;;;;0.50
433;GRAMS Steven;CAN;;;;;;;0.50;;;;;;;0.50
435;MIKHALKOU Pavel;BLR;;0.50;;;;;;;;;;;;0.50
436;MURRU Fabio;GER;;0.00;0.50;0.00;;;;;;;;;;0.50
437;SCHMIDLI Nicky;SUI;;;;;;;;0.50;;;;;;0.50
438;SZURLEJ Bartlomiej;POL;;0.00;0.00;0.00;;;0.50;;;;;;;0.50
439;TELLNES Jesper;NOR;;;;0.50;;;0.00;0.00;;;;;;0.50
440;SCHEUNER Joel;SUI;;;;;;;;0.50;;;;;;0.50
440;GUILLEMOT Yilu;FRA;;0.50;;;;;;;;;;;;0.50
442;SMIRNOV Nikita;EST;;0.50;;;;;;;;;;;;0.50
443;CWIEKA Wojciech;POL;;;;;;;0.00;0.50;;;;;;0.50
444;LE BERRE Gaetan;FRA;;;0.50;;;;;;;;;;;0.50
445;GRIGORIADIS Pavlos;GRE;;;;0.50;;;;;;;;;;0.50
445;IVALDI Giorgio;ITA;;;0.50;;;;;;;;;;;0.50
447;MARTEMIANOV Grigoriy;RUS;;0.50;;;;;;;;;;;;0.50
448;ZENTKO Matej Tadeas;SVK;;0.50;0.00;;;;0.00;;;;;;;0.50
449;MINCHEV Evgeni;BUL;;;;;;;0.50;;;;;;0.00;0.50
450;SZABO Benedek;CAN;;;0.50;;;;;;;;;;;0.50
451;MARQUES Bruno;POR;;;0.50;;;;;;;;;;;0.50
452;KRUHLOV Vladyslav;UKR;;;;;;;0.50;;;;;;;0.50
453;RUSSELL James;GBR;;0.00;0.00;0.25;;;0.25;;;;;;;0.50
454;TIAN John;AUS;;;0.25;0.25;;;;;;;;;;0.50
455;BORER Jovan;SUI;;0.25;0.25;;;;;0.00;;;;;;0.50
456;LE QUANG HUY Phileas;DEN;;0.25;0.00;0.00;;;0.25;0.00;;;;;;0.50
457;BALMORI Diego;ESP;;0.25;;;;;0.25;;;;;;;0.50
458;RECLO Michal;SVK;;0.25;0.00;;;;0.25;;;;;;;0.50
459;VAN DER VAEREN Andy;BEL;;0.00;0.00;0.00;;;0.25;0.00;;;;;;0.25
460;HILBERT Xavier;USA;;;0.25;;;;;;;;;;;0.25
461;SALM Markus;EST;;0.25;;;;;;;;;;;;0.25
462;LIM Kang Eun;KOR;;0.25;;;;;;;;;;;;0.25
463;PASSAM Filippos;GRE;;;;0.25;;;;;;;;;;0.25
464;RODRIGUEZ Jose;VEN;;0.25;;;;;;;;;;;;0.25
465;DJUROVIC Milos;SRB;;;;;;;0.25;;;;;;;0.25
466;WILLCOX Joshua;GBR;;0.00;0.25;;;;;;;;;;;0.25
467;CAN Baris;TUR;;;;0.25;;;;;;;;;;0.25
467;KRIKORYANTS Nikolay;RUS;;;;0.25;;;;;;;;;;0.25
469;GIULIANO Loris;SUI;;;0.25;;;;;;;;;;;0.25
470;SMRCEK Simon;CZE;;0.00;0.25;;;;0.00;;;;;;;0.25
471;ZAGITOV Rafael;RUS;;;;0.25;;;;;;;;;;0.25
472;DEMKOVICH Kirill;BLR;;0.25;;;;;0.00;;;;;;0.00;0.25
473;TIKTOPOULOS Alexandros Constantinos;GRE;;;;0.25;;;;;;;;;;0.25
474;EVGENEV Dmitry;RUS;;0.25;;;;;;;;;;;;0.25
475;STIGANT Devlin;GBR;;;;0.25;;;;;;;;;;0.25
476;BINICHAKIS Emmanouil;GRE;;;;0.25;;;;;;;;;;0.25
477;DIMITROPOULOS Lampros;GRE;;;;0.25;;;;;;;;;;0.25
478;SOERUM Jens;NOR;;0.25;;;;;;;;;;;;0.25
479;ATANASOV Marin;BUL;;;;;;;0.25;;;;;;0.00;0.25
480;HUSEMANN Luca;GER;;;;0.00;;;0.25;;;;;;;0.25
481;MYKYTENKO Dmytro;UKR;;;;;;;0.25;;;;;;;0.25
482;TROFYMENKO Pavel;UKR;;0.25;;0.00;;;;;;;;;;0.25
483;PAJU Raul;EST;;0.25;;;;;;;;;;;;0.25
483;KITLINSKI Bartosz;POL;;;;;;;0.25;;;;;;;0.25
485;BAKHVALAU Ivan;BLR;;;;;;;0.25;;;;;;;0.25
486;LEE Max;GBR;;0.25;;;;;;;;;;;;0.25
487;MALINEUSKI Aliaksei;BLR;;;;;;;0.25;;;;;;;0.25
488;KUBLITSKIY Mykhailo;UKR;;0.25;;;;;;;;;;;;0.25
489;KROUZECKY Tomas;CZE;;0.25;0.00;;;;0.00;;;;;;;0.25
490;RYNKEVIC Alan;LTU;;0.25;;;;;;;;;;;0.00;0.25
491;HAMALAINEN Roni;FIN;;0.25;;;;;;;;;;;;0.25
492;DAHLE Bo;NOR;;0.25;;;;;;;;;;;;0.25
493;JOHANSSON Hjalmar;SWE;;0.25;;;;;0.00;;;;;;;0.25
494;ESCALANTE RAMIREZ Bryan Enrique;ESA;0.00;;;;;;;;;;;;;0.00
495;OLAGUNJU Zaafir;NGR;;;;;;;;;0.00;;;;;0.00
495;GALDAMEZ MENDOZA Carlos Moises;ESA;0.00;;;;;;;;;;;;;0.00
497;LEMUS RECINOS Daniel Eduardo;ESA;0.00;;;;;;;;;;;;;0.00
497;EL HADI Mouad;MAR;;;;;;;;;0.00;;;;;0.00
499;FUENTES ALAS Marvin Alexander;ESA;0.00;;;;;;;;;;;;;0.00
499;ZADI Ilyes;ALG;;;;;;;;;0.00;;;;;0.00
501;TAMURA Junya;JPN;;;;;0.00;;;;;;;;;0.00
502;HSIEH Yi;TPE;;;;;0.00;;;;;;;;;0.00
503;OGURI Riki;JPN;;;;;0.00;;;;;;;;;0.00
504;NAKURA Kyosuke;JPN;;;;;0.00;;;;;;;;;0.00
505;URQUIDI Julio;BOL;;;;;;;;;;;0.00;;;0.00
506;KONDO Yuta;JPN;;;;;0.00;;;;;;;;;0.00
507;KATO Masami;JPN;;;;;0.00;;;;;;;;;0.00
507;SMITH ESTRADA Derek;URU;;;;;;;;;;;0.00;;;0.00
509;CHARLES SAINT-JEAN Samuel Junior Matheo;DOM;;;;;;;;;;;0.00;;;0.00
509;TAN Zabadee Jin Long;SGP;;;;;0.00;;;;;;;;;0.00
509;MIRANDA BERNAL Jeremy David;PAN;;;;;;;;;;;0.00;;;0.00
512;ABDULLAH Ali;IRQ;;;;;;0.00;;;;;;;;0.00
513;CHEN Lin-An;TPE;;;;;0.00;;;;;;;;;0.00
513;AL ABANDI Abdulla;KSA;;;;;;0.00;;;;;;;;0.00
513;ROJAS Marco;BOL;;;;;;;;;;;0.00;;;0.00
516;SANTIAGO ROSARIO Pablo A.;PUR;;;;;;;;;;;0.00;;;0.00
516;HUSSIEN Ali;IRQ;;;;;;0.00;;;;;;;;0.00
518;AL HUJAIRI Hassan;KSA;;;;;;0.00;;;;;;;;0.00
518;CANAL Jorge Esteban;PER;;;;;;;;;;;0.00;;;0.00
520;ALHASSONI Matar;BRN;;;;;;0.00;;;;;;;;0.00
520;COLON Jan;PUR;;;;;;;;;;;0.00;;;0.00
522;BELSELAH Omar;UAE;;;;;;0.00;;;;;;;0.00;0.00
523;GALLARDO MELENDEZ Edward Gabriel;PAN;;;;;;;;;;;0.00;;;0.00
524;ALATAWI Saoud;BRN;;;;;;0.00;;;;;;;;0.00
525;ALTAYEB Yousef;KSA;;;;;;0.00;;;;;;;;0.00
526;ALAMIRI Ali;BRN;;;;;;0.00;;;;;;;;0.00
527;WADE Oliver;GBR;;;;;;0.00;;0.00;;;;;;0.00
528;AL-SALEMI Mohammed;YEM;;;;;;;;;;;;0.00;;0.00
529;HASSAN Sultan;KUW;;;;;;;;;;;;0.00;0.00;0.00
530;SALIM Mohammed;PLE;;;;;;;;;;;;0.00;;0.00
531;ALHALABIYA Abdallah;PLE;;;;;;;;;;;;0.00;;0.00
532;QAWASME Mostafa;PLE;;;;;;;;;;;;0.00;;0.00
533;AL-SALEHI Saleh Musaed Nasser;YEM;;;;;;;;;;;;0.00;;0.00
534;AL KHRISSAT Mohammad;JOR;;;;;;;;;;;;0.00;;0.00
535;GRIGORYAN Vahagn;ARM;;;;;;;;;;0.00;;;;0.00
536;AL-HAYK Hamza;JOR;;;;;;;;;;;;0.00;;0.00
536;SEDER Omar;PLE;;;;;;;;;;;;0.00;;0.00
538;PLANOJEVIC Jakov;SRB;;;;;;;;;;0.00;;;;0.00
539;RYJIKOV Benjamin;USA;;;;;;;;0.00;;;;;;0.00
540;LUQUE Alberto;ESP;;;;;;;;0.00;;;;;;0.00
541;VOLAK Samuel;CZE;;;0.00;;;;;0.00;;;;;;0.00
542;PULIDO Diego;VEN;;0.00;;;;;0.00;0.00;;;;;0.00;0.00
543;BEKKER Samuel;USA;;;;;;;;0.00;;;;;;0.00
544;JANSSENS William;BEL;;;;;;;;0.00;;;;;;0.00
545;MUMINOV Mirzoulugbek;UZB;;;;;;;;;;;;;0.00;0.00
546;SANTIBANEZ Felipe;CHI;;;;;;;0.00;0.00;;;;;0.00;0.00
547;CORREIA Joao;POR;;;0.00;;;;;;;;;;;0.00
547;LIN Zhong-Wei;TPE;;;;;;;;;;;;;0.00;0.00
549;PALUSAAR Nikita;EST;;0.00;0.00;0.00;;;;;;;;;;0.00
550;SEDLACEK Ondrej;CZE;;;0.00;;;;;;;;;;;0.00
551;LUGTENBURG Thomas;NED;;;;;;;;0.00;;;;;;0.00
552;NIKULIN Dmitry;LAT;;0.00;;;;;;;;;;;0.00;0.00
553;NAWAR Hassan;NED;;;0.00;;;;;;;;;;;0.00
554;RAMAZZOTTI Francesco;LUX;;;0.00;;;;;;;;;;;0.00
554;KUN Sangwoo;KOR;;;;;;;;0.00;;;;;;0.00
556;ASSMANN Timothy;NED;;;0.00;;;;;;;;;;0.00;0.00
557;BISSINGER Michael;USA;;;0.00;;;;;;;;;;;0.00
558;MEEWIS Theo;BEL;;;0.00;;;;0.00;0.00;;;;;;0.00
559;PERSSON Casper Nils;DEN;;0.00;0.00;0.00;;;;;;;;;;0.00
560;TANG Hong Yao;HKG;;;;;;;;0.00;;;;;;0.00
561;YOSEF Yuval;ISR;;;;0.00;;;;;;;;;;0.00
562;MIYAGAWA Wataru;JPN;;;0.00;;;;;;;;;;;0.00
562;PARK Hyomim;KOR;;;;;;;;0.00;;;;;;0.00
564;BOYLE Douglas;GBR;;0.00;0.00;;;;;;;;;;;0.00
565;MARKOPOULOS Ioannis;GRE;;;;0.00;;;;;;;;;;0.00
566;CSERI Soma;HUN;;;;;;;;0.00;;;;;;0.00
566;MARKOPOULOS Petros;GRE;;;;0.00;;;;;;;;;;0.00
568;SAVELAINEN Joonas;FIN;;0.00;0.00;0.00;;;;;;;;;;0.00
569;DE MEYERE Maarten;BEL;;;0.00;;;;;;;;;;;0.00
570;POCKELE Joris;BEL;;;0.00;;;;;0.00;;;;;;0.00
571;MARTIN GASCON Anibal;ESP;;0.00;;;;;0.00;0.00;;;;;;0.00
572;WU Hsiang-Ching;TPE;;;;;;;;;;;;;0.00;0.00
573;CASANOVA Felix;CHI;;;;;;;0.00;0.00;;;;;;0.00
574;WEIRUP Rasmus;DEN;;0.00;0.00;;;;;;;;;;;0.00
575;PALMER Harry;GBR;;0.00;;0.00;;;;;;;;;;0.00
576;PAPADAKIS Stylianos;GRE;;;;0.00;;;;;;;;;;0.00
576;CHIU Chun-Yang;TPE;;;;;;;;;;;;;0.00;0.00
578;SANCHEZ ORTIZ Jorge;ESP;;;0.00;;;;;;;;;;;0.00
579;GSTETTNER Michel;AUT;;0.00;0.00;;;;0.00;;;;;;;0.00
580;VALKENBURG Matthew;NZL;;;0.00;0.00;;;;;;;;;;0.00
581;RENIER Kevin;BEL;;;0.00;;;;;;;;;;;0.00
581;SAHIN Alpkan;TUR;;;0.00;;;;;;;;;;;0.00
581;ZAKI Adem Feris;QAT;;;;;;;;;;;;;0.00;0.00
584;PANAGIOTAKOPOULOS Marios;GRE;;;;0.00;;;;;;;;;;0.00
585;SILIWANOWICZ Mateusz Konrad;SWE;;0.00;;;;;0.00;;;;;;;0.00
586;SUGIMOTO Maya;JPN;;;0.00;;;;;;;;;;;0.00
587;LOTTER Hugo;GER;;0.00;0.00;;;;;;;;;;;0.00
588;STEBLAJ Dominik;SLO;;;;;;;0.00;;;;;;0.00;0.00
589;ALVANOS Georgios;GRE;;;;0.00;;;;;;;;;;0.00
590;VERWAAL Crijn;BEL;;0.00;;;;;;;;;;;;0.00
590;ELSHERIF Ahmed;EGY;;;0.00;;;;;;;;;;;0.00
590;GUL Cinar;TUR;;;;0.00;;;;;;;;;;0.00
593;KHALIKDATOV Alijon;TJK;;;;;;;;;;;;;0.00;0.00
593;ALFAHAD Abdullah;KUW;;;;;;;;;;;;;0.00;0.00
595;KARAGIANNIS Panteleimon;GRE;;;;0.00;;;;;;;;;;0.00
595;CHATZIGEORGIOU Nikolaos;GRE;;;;0.00;;;;;;;;;;0.00
597;OLIVEIRA Goncalo;POR;;;0.00;;;;;;;;;;;0.00
597;STRYDOM Connor;NAM;;;;;;;;;;;;;0.00;0.00
599;LEVENTIDIS Ioannis;GRE;;;;0.00;;;0.00;;;;;;;0.00
600;PINAKAS Theokritos Titos;GRE;;;;0.00;;;0.00;;;;;;;0.00
601;BERNSEN Christoffer Leth;DEN;;0.00;0.00;;;;;;;;;;;0.00
602;DEMETRIADES Filippos;CYP;;;;0.00;;;;;;;;;;0.00
603;POULAIN Daniel;LUX;;;0.00;;;;;;;;;;;0.00
604;PAVIC Radislav;SRB;;;;;;;0.00;;;;;;;0.00
604;CINGA Dominykas;LTU;;0.00;;;;;;;;;;;;0.00
604;HORVATH Zsombor;HUN;;;;0.00;;;;;;;;;;0.00
607;THEOCHAROUS Alexandros;CYP;;;;0.00;;;;;;;;;;0.00
608;ARYEH Gideon;ISR;;0.00;;0.00;;;;;;;;;;0.00
609;PANTAZOGLOU Nikolaos;GRE;;;;0.00;;;;;;;;;;0.00
609;MALLIARAKIS Georgios;GRE;;;;0.00;;;;;;;;;;0.00
611;PRIIMAGI Henrik;EST;;0.00;;;;;;;;;;;;0.00
611;BILETSKYI Rostyslav;UKR;;;;;;;0.00;;;;;;;0.00
613;SIMIN Erik;EST;;0.00;;;;;;;;;;;;0.00
614;POPA Daniel;ROU;;0.00;;;;;;;;;;;;0.00
615;LOGINOVS DANIELS;LAT;;0.00;;;;;;;;;;;;0.00
616;VON POST Joel;SWE;;;;;;;0.00;;;;;;;0.00
617;ULASEVICS Antonijs;LAT;;0.00;;;;;;;;;;;;0.00
618;MAYOR Lucas;SUI;;0.00;;;;;;;;;;;;0.00
618;SKADINS Arturs;LAT;;0.00;;;;;;;;;;;;0.00
620;INOSTROZA Lucas;CHI;;;;;;;0.00;;;;;;;0.00
621;BAZILCUKS Levs;LAT;;0.00;;;;;;;;;;;;0.00
621;LOKASTOVS Daniils;LAT;;0.00;;;;;;;;;;;;0.00
623;RASPOPTSIS Evangelos;GRE;;;;;;;0.00;;;;;;;0.00
624;MAKEVIC Ivan;SRB;;;;;;;0.00;;;;;;;0.00
625;LAO Mattias;EST;;0.00;;;;;;;;;;;;0.00
625;KERANEN Miika;FIN;;0.00;;;;;;;;;;;;0.00
627;DJAKOVIC Matija;SRB;;;;;;;0.00;;;;;;;0.00
628;RABRENOVIC Marko;SRB;;;;;;;0.00;;;;;;;0.00
629;TASAR Muhammed;TUR;;;;;;;0.00;;;;;;;0.00
629;STANOJEVIC Mihailo;SRB;;;;;;;0.00;;;;;;;0.00
631;DRENCAK Adam;SVK;;;;;;;0.00;;;;;;;0.00
632;PAVIC Vladislav;SRB;;;;;;;0.00;;;;;;;0.00
