RANK;ATHLETE;NATION;Luxembourg A;Manama A;Riga A;San Salvador A;Bratislava A;Bâle A;Espoo Helsinki A;Udine A;La Havane CHZ;Korat CHZ;Plovdiv CHZ;Yamoussoukro CHZ;Plovdiv CHM;TOTAL
278;CABALLERO Luis;VEN;;;;;;;;;3.00;;;;;3.00
279;AL ATTABI Mostafa;IRQ;;0.00;;;;;;;;3.00;;;;3.00
280;KHIABANI Aryan;IRI;;;;;;;;;;3.00;;;;3.00
281;IQBAL FAHLEVY Muhammad;INA;;;;;;;;;;3.00;;;;3.00
282;DILIBERTO Luca;ITA;2.00;;;;;;;1.00;;;;;;3.00
283;GREBENNIKOV Sergey;RUS;;;2.00;;1.00;;;;;;;;;3.00
284;GUTMAN Adi;ISR;;;;;;;;;;;3.00;;0.00;3.00
285;CHINGAKHAM Jetlee Singh;IND;;;;;;;;;;3.00;;;;3.00
286;LUMAHAN Darylle Joshua;PHI;;;;;;;;;;3.00;;;;3.00
287;ALMUTERY Ahmed Zeyad;KUW;;;;;;;;;;3.00;;;0.00;3.00
288;LIM Neville Woon Juin;SGP;;;;;;;;;;3.00;;;;3.00
289;SU Wen Hsien;TPE;;;;;;;;;;3.00;;;;3.00
290;MIRKUN Danil;KGZ;;;;;;;;;;3.00;;;;3.00
291;BHATELE Satyam;IND;;;;;;;;;;3.00;;;0.00;3.00
292;HOANG Nhat Nam;VIE;;;;;;;;;;3.00;;;;3.00
293;BATCHULUUN Khash-Erdene;MGL;;;;;;;;;;3.00;;;0.00;3.00
294;LIU Chun Wei;TPE;;;;;;;;;;3.00;;;;3.00
295;RINSAKUN Suebsakun;THA;;;;;;;;;;3.00;;;;3.00
296;TRAN Huu Tin;VIE;;;;;;;;;;3.00;;;;3.00
297;AL-SAEDI Mohammed;IRQ;;;;;;;;;;3.00;;;;3.00
298;RAZ Ori;ISR;;;1.00;;;2.00;;;;;;;;3.00
299;ALSOWAIDI Abdulrahman;QAT;;;;;;;;;;3.00;;;;3.00
300;GEITUNG Tomas;NOR;;;;;;;0.00;;;;3.00;;;3.00
301;SHAHDAD Omran;UAE;;;;;;;;;;3.00;;;;3.00
302;KHIM Sammean;CAM;;;;;;;;;;3.00;;;;3.00
303;HATZ Nick;SUI;2.00;;0.00;;0.00;0.00;0.00;1.00;;;;;;3.00
304;POZZI Stefano;SUI;;;;;0.00;2.00;1.00;0.00;;;;;;3.00
305;VELTRUP Paul;GER;;;2.00;;0.00;1.00;0.00;;;;;;;3.00
306;MATEVOSOV Artem;UKR;;;0.00;;2.00;;;1.00;;;;;;3.00
307;DU Jiaming;CHN;;;;;;;;;;;;;2.50;2.50
308;SATHASIVAN NIRMALA Siva Magesh;IND;;;;;;;;;;;;;2.50;2.50
309;LEE Gweonwoo;KOR;;;;;;;;;;;;;2.50;2.50
310;SHIN Hyunseok;KOR;;;;;;;;;;;;;2.50;2.50
311;KRASTEV Dimitar;BUL;;;;;0.00;;;;;;;;2.50;2.50
312;CAICEDO Fabian;VEN;;;;;;;0.00;0.00;;;;;2.50;2.50
313;MANZONI Sergio;ITA;;;;;;;;2.00;;;;;;2.00
314;BALZANO Marco;ITA;;;;;0.00;;;2.00;;;;;;2.00
315;GUDERA Jonas;GER;2.00;;;;;;;;;;;;;2.00
315;ALI Abdulla;BRN;;2.00;;;;;;;;;;;;2.00
315;SZKOP Wiktor;POL;;;;;2.00;;;;;;;;;2.00
318;ALAKKAS Omar;KSA;;2.00;;;;;;;;;;;;2.00
319;VERDON Paul;IRL;0.00;2.00;0.00;;;;0.00;;;;0.00;;0.00;2.00
320;SCHNEIDER Benjamin;GBR;2.00;;;;;0.00;0.00;;;;;;;2.00
321;FOUSTANAKIS Stylianos-Rafail;GRE;;;;;;0.00;;2.00;;;;;;2.00
322;STUBNYA Marton;HUN;;;0.00;;0.00;;;2.00;;;;;;2.00
323;SILAEV Artyom;USA;;;2.00;;;;;;;;;;;2.00
324;FROESCHL Lucas;GER;;;;;;;;2.00;;;;;;2.00
325;VASSEUR Yoran;FRA;2.00;;;;;;;;;;;;;2.00
326;MULLER Luis;AUT;;;0.00;;0.00;2.00;0.00;;;;0.00;;0.00;2.00
327;CAUDO Domenico;ITA;;;;;;;;2.00;;;;;;2.00
327;KULOZIK Julian;GER;2.00;;;;;;;;;;;;;2.00
329;RODRIGUEZ GONZALEZ Javier;ESP;;;;;;;2.00;0.00;;;0.00;;;2.00
330;GUERRA Federico;ITA;;;;;;;;2.00;;;;;;2.00
331;SAAVALAINEN Ellis;FIN;;;0.00;;0.00;0.00;2.00;;;;;;0.00;2.00
332;PIANFETTI Sacha;FRA;;;;;;;;2.00;;;;;;2.00
333;OZTUNC Omer Kaan;TUR;;;1.00;;1.00;;0.00;;;;0.00;;0.00;2.00
334;NAGURNYI Iaroslav;UKR;;;1.00;;1.00;;;;;;;;;2.00
335;MANCEWICZ Bartlomiej;SWE;;;0.00;;1.00;;1.00;;;;;;;2.00
336;CORRADO Giacomo;ITA;1.00;;1.00;;;;;;;;;;;2.00
337;GOTTWALD Mathias;AUT;;;1.00;;1.00;0.00;0.00;;;;;;;2.00
338;BOBROV Ilian;EST;;;1.00;;;;1.00;;;;;;;2.00
339;BARTISSOL Jose;POR;;;;;;;;;;;1.50;;0.00;1.50
340;JUKNA Rokas;LTU;;;0.00;;0.00;;0.00;;;;1.50;;0.00;1.50
341;RYKUNOU Dzmitry;BLR;;;0.00;;;;;;;;1.50;;;1.50
342;BALMORI Diego;ESP;;;;;;0.00;0.00;0.00;;;1.50;;;1.50
343;MIKHALKOU Pavel;BLR;;;0.00;;;;;;;;1.50;;;1.50
344;KYPRAIOS Spyridon;GRE;;;;;0.00;;;;;;1.50;;;1.50
345;SAY Ali Ege;TUR;;;0.00;;0.00;;0.00;;;;1.50;;0.00;1.50
346;SALOKAS Arnas;LTU;;;0.00;;0.00;;0.00;;;;1.50;;0.00;1.50
347;POLOZHINTSEV Nikolai;RUS;;;1.00;;;;;;;;;;;1.00
348;DUDUC Alex;SVK;1.00;;0.00;;0.00;;;0.00;;;;;;1.00
349;GAVRILUT Daniel;ROU;;;;;;;;1.00;;;;;;1.00
349;BIALAS Maciej;POL;1.00;;;;;;;;;;;;;1.00
351;VOLAK Samuel;CZE;1.00;;;;0.00;0.00;;0.00;;;;;0.00;1.00
352;ONOFRE Rafael;POR;1.00;;;;;;;;;;0.00;;0.00;1.00
353;RAULO Aurelien;FRA;;;;;;;;1.00;;;;;;1.00
354;YATES Domenic;AUS;;;;;;;1.00;;;;;;;1.00
355;JEAN JOSEPH Kendrick;FRA;;;;;;;;1.00;;;;;;1.00
356;GOLEC Maciej;POL;0.00;;0.00;;1.00;;;;;;;;;1.00
357;PFEIFER Jannik;SUI;;;0.00;;1.00;0.00;0.00;0.00;;;;;;1.00
358;LYMANSKYI Pavlo;UKR;;;0.00;;1.00;;;;;;0.00;;0.00;1.00
359;VASARAUDZIS Egils;LAT;;;1.00;;;;0.00;;;;;;0.00;1.00
360;LUND Leonard;SWE;;;;;0.00;1.00;0.00;;;;;;;1.00
361;STOLAR Samuel;SVK;1.00;;0.00;;0.00;0.00;;0.00;;;;;;1.00
362;FITKEVICIUS Algirdas;LTU;;;0.00;;1.00;;0.00;;;;;;;1.00
363;KOZMA Geza;RSA;;;;;;;;1.00;;;;;;1.00
364;KALININAS Leonardas;LTU;;;0.00;;;;1.00;;;;;;0.00;1.00
365;SANER Harry;RSA;;;;;;;;1.00;;;;;0.00;1.00
366;BILLON Maxime;CAN;;;0.00;;;;1.00;;;;;;;1.00
367;HAURI Ian;SUI;;;;;;1.00;;;;;;;;1.00
368;KRAHER Martin;AUT;;;1.00;;0.00;0.00;0.00;0.00;;;;;;1.00
369;GUNDAR Oleg;UKR;;;1.00;;0.00;;;;;;;;;1.00
370;RANNINGER Alberto;ESP;;;;;;1.00;0.00;0.00;;;;;;1.00
371;MOISEEV Kirill;RUS;;;0.00;;1.00;;;;;;;;;1.00
372;SEPP Tony;EST;;;1.00;;;;0.00;;;;;;;1.00
373;MORRIS George;GBR;1.00;;0.00;;;;;;;;;;;1.00
374;RODRIGUEZ Pierre-Emmanuel;FRA;1.00;;;;;;;;;;;;;1.00
375;GUIOT Aymeric;BEL;1.00;;0.00;;0.00;0.00;;0.00;;;;;;1.00
376;SZAKMARY Nandor;HUN;;;1.00;;;0.00;;;;;;;;1.00
377;BIRO David;ROU;;;;;1.00;;;0.00;;;;;;1.00
378;WILSON Nicolas;USA;0.00;;0.00;;;1.00;;;;;;;;1.00
379;BECKER Olivier;LUX;1.00;;0.00;;0.00;;;;;;;;;1.00
380;PUCHACHER Felix;AUT;;;0.00;;1.00;0.00;0.00;;;;;;;1.00
381;PERSSON Casper Nils;DEN;1.00;;0.00;;0.00;;;;;;;;;1.00
382;WENZEL Tijan;SLO;;;;;0.00;;;1.00;;;;;;1.00
383;KOLPA Piotr;POL;;;0.00;;1.00;;;;;;;;;1.00
384;TEMIRYAEV Alan;USA;;;;;;0.00;1.00;;;;;;;1.00
385;DRENCAK Adam;SVK;1.00;;0.00;;0.00;0.00;;0.00;;;;;;1.00
386;RAPPE Bastien;BEL;1.00;;0.00;;0.00;;;;;;;;;1.00
387;KOVALENKO Vladyslav;UKR;;;;;1.00;;;;;;;;;1.00
388;ALTAYAB Ahmad;KSA;;;;0.00;;;;;;;;;;0.00
389;CAP Hector;GUA;;;;0.00;;;;;;;;;;0.00
390;SANOGO Souleymane;MLI;;;;;;;;;;;;0.00;;0.00
390;ESCOBAR Yembi;GUA;;;;0.00;;;;;;;;;;0.00
392;AVALOS HERNANDEZ Alberto Alexander;ESA;;;;0.00;;;;;;;;;;0.00
392;DANIEL Terkutey;GHA;;;;;;;;;;;;0.00;;0.00
394;OUARO Idriss;MLI;;;;;;;;;;;;0.00;;0.00
395;AHUA Agnini Joel Stephane;CIV;;;;;;;;;;;;0.00;;0.00
396;ISAAC Teinor;GHA;;;;;;;;;;;;0.00;;0.00
397;PULIDO Diego;VEN;;;;;;;;;0.00;;;;;0.00
398;OLSEN Johannes Kristian;DEN;0.00;0.00;0.00;;0.00;0.00;0.00;;;;;;;0.00
399;ALBALUSHI Abdulla;BRN;;0.00;;;;;;;;;;;;0.00
399;RESTREPO GARCIA Kevin Andres;COL;;;;;;;;;0.00;;;;;0.00
401;AHMED Saif;UAE;;0.00;;;;;;;;;;;0.00;0.00
402;ALVAREZ ROLON Manuel;PUR;;;;;;;;;0.00;;;;;0.00
403;BOYLAN Daniel C;PER;;;;;;;;;0.00;;;;0.00;0.00
404;ALDHAMEN Ahmed;KSA;;0.00;;;;;;;;;;;;0.00
405;MUQRI Mohammed;KSA;;0.00;;;;;;;;;;;;0.00
405;RODRIGUEZ Jose;VEN;;;;;;;;;0.00;;;;;0.00
407;AL-MULLA Khalid;QAT;;0.00;;;;;;;;;;;;0.00
407;SMITH ESTRADA Derek;URU;;;;;;;;;0.00;;;;;0.00
409;MINELLI Franco;ARG;;;;;;;;;0.00;;;;0.00;0.00
410;BELSELAH Khalid;UAE;;0.00;;;;;;;;;;;;0.00
410;LIWSKI Guido Nicolas;ARG;;;;;;;;;0.00;;;;;0.00
412;ALATAWI Saoud;BRN;;0.00;;;;;;;;;;;;0.00
413;ABUSAIF Husain;BRN;;0.00;;;;;;;;;;;;0.00
413;BELISARIO Pedro;VEN;;;;;;;;;0.00;;;;;0.00
415;AJMI Muntadher;IRQ;;0.00;;;;;;;;;;;;0.00
416;TRAN Hoang Gia;VIE;;;;;;;;;;0.00;;;;0.00
417;LEONG Cheng Hang;MAC;;;;;;;;;;0.00;;;;0.00
418;PEREZ Reynaldo Jr.;PHI;;;;;;;;;;0.00;;;;0.00
419;TSANG Lok Hin Gary;HKG;;;;;;;;;;0.00;;;;0.00
420;BAKYTBEK UULU Ilim;KGZ;;;;;;;;;;0.00;;;;0.00
421;LISHRAM Bhupen Singh;IND;;;;;;;;;;0.00;;;;0.00
422;GU Calvin Kuan;MAC;;;;;;;;;;0.00;;;;0.00
423;DEEJING Manatsawee;THA;;;;;;;;;;0.00;;;;0.00
424;GO Kyle Patrick;PHI;;;;;;;;;;0.00;;;;0.00
425;UYANGA Margad-Erdene;MGL;;;;;;;;;;0.00;;;;0.00
426;LONG Duoren;MAC;;;;;;;;;;0.00;;;;0.00
427;OSMONALIEV Arsen;KGZ;;;;;;;;;;0.00;;;;0.00
428;TUMENTSOGT Tului;MGL;;;;;;;;;;0.00;;;;0.00
429;NIKOLIC Kosta;SRB;;;;;0.00;;;;;;0.00;;0.00;0.00
430;CVETIC Jovan;SRB;;;;;0.00;;;;;;0.00;;0.00;0.00
431;EKENLER Hilmi Taha;TUR;;;;;0.00;0.00;0.00;;;;0.00;;0.00;0.00
432;KUDRIAVTSEV Georgii;UKR;;;0.00;;0.00;;0.00;;;;;;;0.00
433;PANELIUS Rufus;FIN;;;;;;;0.00;;;;0.00;;;0.00
434;ALEGRE Rodrigo;ESP;;;;;;0.00;0.00;;;;;;;0.00
435;RAEDER Anton;NOR;;;0.00;;;0.00;0.00;;;;0.00;;;0.00
436;DAMJANOVIC Nikola;CAN;0.00;;0.00;;;;;;;;;;;0.00
437;ZBIERADA Bartlomiej;POL;;;;;0.00;;;;;;;;;0.00
437;TOLEDO Arturo;ESP;;;;;;;;0.00;;;;;;0.00
439;LATINO Sebastiano;SUI;0.00;;;;;0.00;;;;;;;;0.00
440;STORCHAY Anton;UKR;;;;;0.00;0.00;;;;;;;;0.00
441;KOCK Joachim;FIN;;;;;;;0.00;;;;;;;0.00
442;KRALEV Presiyan;BUL;;;;;0.00;;;;;;0.00;;0.00;0.00
443;CHEN Zachary Yi;SGP;;;;;;;;0.00;;;;;;0.00
444;VAN GILST Roy;NED;0.00;;0.00;;;;;;;;;;;0.00
445;HOROWITZ Charles;USA;;;;;;0.00;;;;;;;;0.00
446;NAGY Marcell;HUN;;;;;;0.00;;0.00;;;;;;0.00
447;EAST William;GBR;0.00;;0.00;;;0.00;0.00;;;;;;;0.00
448;RUSSELL James;GBR;0.00;;;;;0.00;0.00;;;;;;;0.00
449;HERBST Isaac;USA;;;;;;;0.00;;;;;;;0.00
449;BIRKENMAIER Marco;GER;;;;;;;;0.00;;;;;;0.00
451;THEIJSSEN Rik;NED;0.00;;;;;;;;;;;;;0.00
452;GOKBULUT Orkun;TUR;;;0.00;;;0.00;0.00;;;;0.00;;;0.00
453;ROUSSEL Thomas;CIV;0.00;;;;;;;;;;;;;0.00
453;GOORIS Andreo;BEL;0.00;;;;;;;;;;;;;0.00
453;LOMBARDO Theodore;USA;;;;;;;0.00;;;;;;;0.00
453;SEYD Julian Dominic;GER;;;;;;;;0.00;;;;;;0.00
457;BALCAR Josef;CZE;0.00;;;;0.00;0.00;;0.00;;;;;;0.00
458;VERWAAL Crijn;BEL;0.00;;0.00;;;;0.00;0.00;;;;;;0.00
459;GYLLENHOFF Anders;SWE;;;;;0.00;0.00;0.00;;;;;;;0.00
460;EEG Svend Markus;NOR;;;;;;;0.00;;;;;;;0.00
461;RECLO Martin;SVK;0.00;;;;0.00;0.00;0.00;0.00;;;;;;0.00
462;CHU Hayson;HKG;;;;;;;;;;;;;0.00;0.00
463;FILIPPOUSIS Ioannis;GRE;;;;;0.00;0.00;;0.00;;;;;;0.00
464;MENDOZA Carlos;VEN;;;;;;;0.00;0.00;;;;;0.00;0.00
465;HEMELAERS Robbe;BEL;0.00;;0.00;;0.00;;0.00;;;;;;;0.00
466;CLERCX Robin;BEL;0.00;;0.00;;;;;;;;;;;0.00
467;YASU Masato;JPN;;;0.00;;;;0.00;;;;;;;0.00
468;LUCAS Tim;GER;0.00;;;;;;;;;;;;;0.00
468;GONZALEZ Felipe;CHI;;;;;;;;;;;;;0.00;0.00
470;VIDALI Aurel;LUX;0.00;;;;;;;;;;;;;0.00
471;CROMIE Conall;IRL;0.00;;0.00;;;;;;;;;;0.00;0.00
472;SHINOHARA Mizuki;JPN;;;0.00;;;0.00;;;;;;;;0.00
473;ZAPARA Yurii;UKR;;;;;0.00;0.00;;;;;;;;0.00
474;SAVIN Alexandr;KAZ;;;;;;;0.00;;;;;;;0.00
475;GULIYEV Barat;AZE;;;;;;;;;;;;;0.00;0.00
476;BOURGUIGNON Brice;BEL;0.00;;;;;;;;;;;;;0.00
477;BERTA Botond;HUN;;;;;0.00;;;;;;;;;0.00
478;SKOGSTER Moritz;FIN;;;;;;;0.00;;;;;;;0.00
478;CROTCHETT Kaiden;USA;;;;;;0.00;;;;;;;;0.00
480;BROGER Fabian;SUI;0.00;;;;;0.00;;;;;;;;0.00
481;MATSUURA Seiya;JPN;;;;;;0.00;;;;;;;;0.00
481;MITKIN Oleksandr;UKR;;;;;;;0.00;;;;;;;0.00
483;SEIDEL Rudger;GER;;;;;0.00;0.00;0.00;0.00;;;;;;0.00
484;ZELLER Zachary;USA;0.00;;;;;;;;;;;;;0.00
485;SZURLEJ Bartlomiej;POL;0.00;;0.00;;;;;;;;;;;0.00
486;TIHANE Juri;FIN;;;0.00;;;;0.00;;;;;;;0.00
487;SOUTULLO Jordi;SUI;;;;;;0.00;;;;;;;;0.00
488;TOBIN Turner;CAN;0.00;;0.00;;;;;;;;;;;0.00
489;SOERUM Jens;NOR;;;;;;;0.00;;;;;;;0.00
489;VALDERRAMA Jorge;CHI;;;;;;;;;;;;;0.00;0.00
491;FRIIS RUUD Emil;NOR;;;0.00;;;0.00;0.00;;;;;;;0.00
492;POERS Gregor;SLO;;;;;;;;0.00;;;;;;0.00
492;REALE Andre;BRA;0.00;;;;;;;;;;;;;0.00
494;HOSS Moritz;LUX;0.00;;;;;;;;;;;;;0.00
495;ERNEE Jan;CZE;;;;;0.00;;;0.00;;;;;;0.00
496;BLITSMAN Zvi;ISR;;;0.00;;;;0.00;;;;;;;0.00
497;KIM Myeongki;KOR;;;;;;;;;;;;;0.00;0.00
498;ARAUJO Francisco;POR;0.00;;;;;;;;;;;;;0.00
499;SALAS Javier;ESP;;;;;;0.00;0.00;;;;;;;0.00
500;SALAZAR MORENO Luis Enrique;VEN;;;;;;;0.00;0.00;;;;;0.00;0.00
501;PLYSHEVSKYY Anatolii;UKR;;;0.00;;0.00;;;;;;;;;0.00
502;EJEMYR Christoffer;SWE;;;;;0.00;;0.00;;;;;;;0.00
503;DONATO Alvaro;BRA;0.00;;0.00;;;;;;;;;;;0.00
504;SUTHERLAND Kirk;IRL;0.00;;0.00;;;;;;;;;;;0.00
505;HESSLING OSCARSON Simon;SWE;;;;;0.00;0.00;;;;;;;;0.00
506;ZLENKO Daniels;LAT;;;0.00;;;;0.00;;;;;;;0.00
507;TELLNES Jesper;NOR;;;0.00;;;0.00;0.00;;;;;;;0.00
508;LEWIN Johan;SWE;;;;;;;0.00;0.00;;;;;;0.00
509;HLAVA Marek;CZE;0.00;;;;0.00;;;;;;;;;0.00
510;FERRARIN Franky;LUX;0.00;;;;;;;;;;;;;0.00
511;CROUSE Ulfric;USA;0.00;;;;;;0.00;;;;;;;0.00
512;JOHANNS Loic;LUX;0.00;;0.00;;0.00;;;;;;;;;0.00
513;PETERSEN Magnus Andreas;DEN;;;;;;;0.00;;;;;;;0.00
514;YUAN Wesley;USA;;;0.00;;;;;;;;;;;0.00
515;BARTASKA Matas;LTU;;;0.00;;0.00;;;;;;;;;0.00
516;NORIEGA Lucas;BRA;0.00;;0.00;;;;;;;;;;;0.00
517;LOMBARDO Gabriel;BRA;0.00;;;;0.00;;;;;;;;;0.00
518;DELEZE Cyrille;SUI;;;;;;0.00;;;;;;;;0.00
518;HABRAN Maxime;BEL;0.00;;;;;;;;;;;;;0.00
520;CHERVYNSKYI Yaroslav;UKR;;;;;;0.00;0.00;;;;;;;0.00
521;MECKE Cedric;USA;;;;;;;0.00;;;;;;;0.00
522;SAADON Or;ISR;;;0.00;;;;0.00;;;;;;;0.00
523;SWINBANK Felix;GBR;;;0.00;;;;;;;;;;;0.00
524;TAN Guangzeng;CHN;;;;;;;;;;;;;0.00;0.00
525;SZABO Karol;SVK;;;;;0.00;0.00;;0.00;;;;;;0.00
526;TAN Lawrence Everett;PHI;;;;;;;;;;;;;0.00;0.00
527;LACH Lukas;AUT;;;0.00;;0.00;0.00;0.00;0.00;;;;;;0.00
528;SHITRIT Ron;ISR;;;0.00;;;0.00;0.00;;;;;;;0.00
529;DVARISKIS Marius;LTU;;;0.00;;0.00;;;;;;;;;0.00
530;ZHULINSKIY Nikita;KAZ;;;;;;;0.00;;;;;;0.00;0.00
531;STORMARK Joergen;NOR;;;0.00;;;;0.00;;;;;;;0.00
532;SKOGSTER Amos;FIN;;;;;;;0.00;;;;;;;0.00
533;MACLENNAN Robert;GBR;;;0.00;;;0.00;0.00;;;;;;;0.00
534;ZRYD Arthur;SUI;;;;;;0.00;;;;;;;;0.00
535;MAENO Kaito;JPN;;;0.00;;;;;;;;;;;0.00
536;TSAKIRAKIS Theodoros;GRE;;;;;;;;0.00;;;;;;0.00
537;HATTINGER Jakob;AUT;;;0.00;;0.00;;0.00;;;;;;;0.00
538;MARKEVICIUS Povilas;LTU;;;0.00;;0.00;;;;;;;;;0.00
539;VARDANYAN Razmik;ARM;;;;;;;;;;;;;0.00;0.00
540;WEINIUS Gustaf;SWE;;;;;0.00;;;;;;;;;0.00
541;FULSCHER STEGER Till;SUI;;;;;;0.00;;;;;;;;0.00
542;VALENTANAVICS Pavels;LAT;;;0.00;;;;0.00;;;;;;;0.00
543;PAJU Raul;EST;;;0.00;;;;0.00;;;;;;;0.00
544;ALFADHLI Ali;KUW;;;;;;;;;;;;;0.00;0.00
545;SHUBHAM Shubham;IND;;;;;;;;;;;;;0.00;0.00
546;HEINAMAA Akseli;FIN;;;;;;;0.00;;;;;;;0.00
547;ALIMOV Sanjar;UZB;;;;;;;;;;;;;0.00;0.00
547;MIURA Hideya;JPN;;;0.00;;;;;;;;;;;0.00
549;BERMEJO Noe;ESP;;;;;;0.00;0.00;;;;;;;0.00
550;SERHOVETS Maksim;EST;;;0.00;;;;0.00;;;;;;;0.00
551;BEZJAK Domen;SLO;;;;;0.00;;;;;;;;;0.00
552;LUNDH Oscar;SWE;;;;;;;0.00;;;;;;;0.00
553;DYMBE Simen;NOR;;;0.00;;;0.00;0.00;;;;;;;0.00
554;PEREZ ONDARTS Lucio;ARG;;;;;;;;;;;;;0.00;0.00
555;ROEV Deyan;BUL;;;;;0.00;;;;;;;;;0.00
555;ARSHED Bandar;KUW;;;;;;;;;;;;;0.00;0.00
557;RODUNG Ludvig;SWE;;;;;0.00;;;;;;;;;0.00
558;CRIBLEZ Lorin;SUI;;;0.00;;;0.00;;;;;;;;0.00
559;HAMALAINEN Roni;FIN;;;;;;;0.00;;;;;;;0.00
560;YAROKH Sviatoslav;UKR;;;0.00;;;;;;;;;;;0.00
561;BARTASKA Dominykas;LTU;;;0.00;;0.00;;;;;;;;;0.00
562;OJALA Tuomas;FIN;;;;;;;0.00;;;;;;;0.00
563;GERARD Louis;FRA;;;0.00;;;;;;;;;;;0.00
563;RECLO Michal;SVK;;;;;0.00;;;;;;;;;0.00
565;PILIPENKO Anders;NOR;;;;;0.00;0.00;;;;;;;;0.00
566;RAJENDRAN SHANTHIMOL Sherjin;IND;;;;;;;;;;;;;0.00;0.00
567;KOTELES Balint;SVK;;;;;0.00;;;;;;;;;0.00
567;COREJ Samuel;SVK;;;;;0.00;;;;;;;;;0.00
569;WEBER Sebastian;SUI;;;;;;0.00;;;;;;;;0.00
569;BAGHADJIAN Marc;LBN;;;;;;;;;;;;;0.00;0.00
571;MINCHEV Evgeni;BUL;;;;;;;;;;;;;0.00;0.00
572;BENDIKSEN Casper;NOR;;;0.00;;;0.00;0.00;;;;;;;0.00
573;ADAMKA Matej;SVK;;;;;0.00;;;;;;;;;0.00
573;BANDO Omito;JPN;;;;;;0.00;;;;;;;;0.00
575;GULJAJEV Igor;EST;;;0.00;;;;0.00;;;;;;;0.00
576;GAUTHIER Guilhem;SUI;;;;;;0.00;;;;;;;;0.00
576;OZDEMIR Bumin Kagan;TUR;;;;;0.00;;;;;;;;;0.00
578;HERVAS Guillermo;ESP;;;;;;;0.00;;;;;;;0.00
579;BELIANINOV Daniil;RUS;;;;;0.00;;;;;;;;;0.00
580;KREMSLEITHNER Michael;AUT;;;0.00;;;;;;;;;;;0.00
580;ATABAY Erkan;TUR;;;0.00;;;;;;;;;;;0.00
580;CERRUTI Stefan;SUI;;;;;;0.00;;;;;;;;0.00
583;HARADA Keisuke;JPN;;;;;;;0.00;;;;;;;0.00
583;ZAHREDDINE Arz;LBN;;;;;;;;;;;;;0.00;0.00
583;FAVRE Hadrien;SUI;;;;;;0.00;;;;;;;;0.00
586;WAGNER Edwin;RSA;;;;;;;;;;;;;0.00;0.00
586;ALIEV Khalid;AZE;;;;;;;;;;;;;0.00;0.00
588;BONGARD Louis;GER;;;0.00;;;;;;;;;;;0.00
589;JAHANGIROV Javid;AZE;;;;;;;;;;;;;0.00;0.00
590;SILVA Henry;SAM;;;;;;;;;;;;;0.00;0.00
591;ISHII Kazuki;JPN;;;;;;;0.00;;;;;;;0.00
592;JUTILA Julius;FIN;;;;;;;0.00;;;;;;;0.00
593;GEDZO Leon;EST;;;0.00;;;;;;;;;;;0.00
594;DICKSON Thomas;GBR;;;0.00;;;;;;;;;;;0.00
594;ALARCIA Daniel;ESP;;;;;;;0.00;;;;;;;0.00
596;GRANADO Jaime;ESP;;;;;;;0.00;;;;;;;0.00
597;HIZMETLI Ali Cihan;TUR;;;0.00;;;;;;;;;;;0.00
598;BEAUDOT Pierre Emile;FRA;;;;;;;0.00;;;;;;;0.00
599;LIPSANEN Tommi;FIN;;;;;;;0.00;;;;;;;0.00
600;STENVALL Rurik;FIN;;;;;;;0.00;;;;;;;0.00
601;LAO Mattias;EST;;;0.00;;;;0.00;;;;;;;0.00
602;KALLIO Matias;FIN;;;;;;;0.00;;;;;;;0.00
603;ESTERKIN Shimon;ISR;;;0.00;;;;;;;;;;;0.00
604;ABRAHAMYAN Rafik;ARM;;;0.00;;;;;;;;;;;0.00
604;PAAVOLAINEN Vaino;FIN;;;;;;;0.00;;;;;;;0.00
606;PEH Kelvin;AUS;;;;;;;0.00;;;;;;;0.00
606;PIRHONEN Petri;FIN;;;;;;;0.00;;;;;;;0.00
606;ISOKANGAS Ali;FIN;;;;;;;0.00;;;;;;;0.00
609;MORRIS Mark;AUS;;;;;;;0.00;;;;;;;0.00
610;MEISTER Andri;EST;;;;;;;0.00;;;;;;;0.00
